service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
F1A1_2100_F1A1,0,0,0,0,0,0,0,20251129,20251129
F1A1_2100_F1A2,0,0,0,0,0,0,0,20251129,20251129
F1A1_2100_F1A3,0,0,0,0,0,0,0,20251129,20251129
F2A1_2100_F2A1,0,0,0,0,0,0,0,20251129,20251129
F2A1_2100_F2A2,0,0,0,0,0,0,0,20251129,20251129
F2A1_2100_F2A3,0,0,0,0,0,0,0,20251129,20251129
F3A1_2100_F3A1,0,0,0,0,0,0,0,20251129,20251129
F3A1_2100_F3A2,0,0,0,0,0,0,0,20251129,20251129
F3A1_2100_F3A3,0,0,0,0,0,0,0,20251129,20251129
F4A1_2100_F4A1,0,0,0,0,0,0,0,20251129,20251129
F4A1_2100_F4A2,0,0,0,0,0,0,0,20251129,20251129
F4A1_2100_F4A3,0,0,0,0,0,0,0,20251129,20251129
F5A1_2100_F5A1,0,0,0,0,0,0,0,20251129,20251129
F5A1_2100_F5A2,0,0,0,0,0,0,0,20251129,20251129
F5A1_2100_F5A3,0,0,0,0,0,0,0,20251129,20251129
F6A1_2100_F6A1,0,0,0,0,0,0,0,20251129,20251129
F6A1_2100_F6A2,0,0,0,0,0,0,0,20251129,20251129
F6A1_2100_F6A3,0,0,0,0,0,0,0,20251129,20251129
L10A1_L10A1,0,0,0,0,0,0,0,20251120,20260223
L10A1NCH_L10A1,0,0,0,0,0,0,0,20251224,20251231
L14A1_L14A1,0,0,0,0,0,0,0,20251120,20260223
L14A1NCH_L14A1,0,0,0,0,0,0,0,20251224,20251231
L16A1_L16A1,0,0,0,0,0,0,0,20251120,20260223
L16A1NCH_L16A1,0,0,0,0,0,0,0,20251224,20251231
L16B1_L16A1,0,0,0,0,0,0,0,20251122,20260221
L18A1_L18A1,0,0,0,0,0,0,0,20251123,20260222
L18A1NAV_L18A1,0,0,0,0,0,0,0,20251225,20260101
L18A6_L18A1,0,0,0,0,0,0,0,20251120,20260223
L18A6_L18A2,0,0,0,0,0,0,0,20251120,20260223
L18A6_L18A3,0,0,0,0,0,0,0,20251120,20260223
L18A6_L18A4,0,0,0,0,0,0,0,20251120,20260223
L18A6_L18A5,0,0,0,0,0,0,0,20251120,20260223
L18A6_L18A6,0,0,0,0,0,0,0,20251120,20260223
L18A6_V_L18A1,0,0,0,0,0,0,0,20260107,20260217
L18A6_V_L18A2,0,0,0,0,0,0,0,20260107,20260217
L18A6_V_L18A3,0,0,0,0,0,0,0,20260107,20260217
L18A6_V_L18A4,0,0,0,0,0,0,0,20260107,20260217
L18A6_V_L18A5,0,0,0,0,0,0,0,20260107,20260217
L18A6_V_L18A6,0,0,0,0,0,0,0,20260107,20260217
L18A6NCH_L18A1,0,0,0,0,0,0,0,20251224,20251231
L18A6NCH_L18A2,0,0,0,0,0,0,0,20251224,20251231
L18A6NCH_L18A3,0,0,0,0,0,0,0,20251224,20251231
L18A6NCH_L18A4,0,0,0,0,0,0,0,20251224,20251231
L18A6NCH_L18A5,0,0,0,0,0,0,0,20251224,20251231
L18A6NCH_L18A6,0,0,0,0,0,0,0,20251224,20251231
L18A6S_L18A1,0,0,0,0,0,0,0,20251122,20260221
L18A6S_L18A2,0,0,0,0,0,0,0,20251122,20260221
L18A6S_L18A3,0,0,0,0,0,0,0,20251122,20260221
L18A6S_L18A4,0,0,0,0,0,0,0,20251122,20260221
L18A6S_L18A5,0,0,0,0,0,0,0,20251122,20260221
L18A6S_L18A6,0,0,0,0,0,0,0,20251122,20260221
L19A3_L19A1,0,0,0,0,0,0,0,20251123,20260222
L19A3_L19A2,0,0,0,0,0,0,0,20251123,20260222
L19A3_L19A3,0,0,0,0,0,0,0,20251123,20260222
L19A3NAV_L19A1,0,0,0,0,0,0,0,20251225,20260101
L19A3NAV_L19A2,0,0,0,0,0,0,0,20251225,20260101
L19A3NAV_L19A3,0,0,0,0,0,0,0,20251225,20260101
L1A11_L1A1,0,0,0,0,0,0,0,20251120,20260223
L1A11_L1A10,0,0,0,0,0,0,0,20251120,20260223
L1A11_L1A11,0,0,0,0,0,0,0,20251120,20260223
L1A11_L1A2,0,0,0,0,0,0,0,20251120,20260223
L1A11_L1A3,0,0,0,0,0,0,0,20251120,20260223
L1A11_L1A4,0,0,0,0,0,0,0,20251120,20260223
L1A11_L1A5,0,0,0,0,0,0,0,20251120,20260223
L1A11_L1A6,0,0,0,0,0,0,0,20251120,20260223
L1A11_L1A7,0,0,0,0,0,0,0,20251120,20260223
L1A11_L1A8,0,0,0,0,0,0,0,20251120,20260223
L1A11_L1A9,0,0,0,0,0,0,0,20251120,20260223
L1A7_L1A1,0,0,0,0,0,0,0,20251123,20260222
L1A7_L1A2,0,0,0,0,0,0,0,20251123,20260222
L1A7_L1A3,0,0,0,0,0,0,0,20251123,20260222
L1A7_L1A4,0,0,0,0,0,0,0,20251123,20260222
L1A7_L1A5,0,0,0,0,0,0,0,20251123,20260222
L1A7_L1A6,0,0,0,0,0,0,0,20251123,20260222
L1A7_L1A7,0,0,0,0,0,0,0,20251123,20260222
L1A7NAV_L1A1,0,0,0,0,0,0,0,20251225,20260101
L1A7NAV_L1A2,0,0,0,0,0,0,0,20251225,20260101
L1A7NAV_L1A3,0,0,0,0,0,0,0,20251225,20260101
L1A7NAV_L1A4,0,0,0,0,0,0,0,20251225,20260101
L1A7NAV_L1A5,0,0,0,0,0,0,0,20251225,20260101
L1A7NAV_L1A6,0,0,0,0,0,0,0,20251225,20260101
L1A7NAV_L1A7,0,0,0,0,0,0,0,20251225,20260101
L1A8_L1A1,0,0,0,0,0,0,0,20251122,20260221
L1A8_L1A2,0,0,0,0,0,0,0,20251122,20260221
L1A8_L1A3,0,0,0,0,0,0,0,20251122,20260221
L1A8_L1A4,0,0,0,0,0,0,0,20251122,20260221
L1A8_L1A5,0,0,0,0,0,0,0,20251122,20260221
L1A8_L1A6,0,0,0,0,0,0,0,20251122,20260221
L1A8_L1A7,0,0,0,0,0,0,0,20251122,20260221
L1A8_L1A8,0,0,0,0,0,0,0,20251122,20260221
L1A9NCH_L1A1,0,0,0,0,0,0,0,20251224,20251231
L1A9NCH_L1A2,0,0,0,0,0,0,0,20251224,20251231
L1A9NCH_L1A3,0,0,0,0,0,0,0,20251224,20251231
L1A9NCH_L1A4,0,0,0,0,0,0,0,20251224,20251231
L1A9NCH_L1A5,0,0,0,0,0,0,0,20251224,20251231
L1A9NCH_L1A6,0,0,0,0,0,0,0,20251224,20251231
L1A9NCH_L1A7,0,0,0,0,0,0,0,20251224,20251231
L1A9NCH_L1A8,0,0,0,0,0,0,0,20251224,20251231
L1A9NCH_L1A9,0,0,0,0,0,0,0,20251224,20251231
L23A1_L23_0740,0,0,0,0,0,0,0,20251120,20260223
L23A1_L23_0905,0,0,0,0,0,0,0,20251120,20260223
L23A1_L23_1305,0,0,0,0,0,0,0,20251120,20260223
L23A1_L23_1605,0,0,0,0,0,0,0,20251120,20260223
L23A1_L23_2120,0,0,0,0,0,0,0,20251120,20260223
L24A1_L24A1,0,0,0,0,0,0,0,20251120,20260223
L24A1NAV_L24A1,0,0,0,0,0,0,0,20251225,20260101
L24A1NCH_L24A1,0,0,0,0,0,0,0,20251224,20251231
L26LJA1_L26_0830,0,0,0,0,0,0,0,20251205,20260130
