service_id,date,exception_type
L10A1_L10A1,20250217,1
L10A1_L10A1,20250218,1
L10A1_L10A1,20250219,1
L10A1_L10A1,20250220,1
L10A1_L10A1,20250221,1
L10A1_L10A1,20250224,1
L10A1_L10A1,20250225,1
L10A1_L10A1,20250226,1
L10A1_L10A1,20250227,1
L10A1_L10A1,20250228,1
L10A1_L10A1,20250303,1
L10A1_L10A1,20250304,1
L10A1_L10A1,20250305,1
L10A1_L10A1,20250306,1
L10A1_L10A1,20250307,1
L10A1_L10A1,20250310,1
L10A1_L10A1,20250311,1
L10A1_L10A1,20250312,1
L10A1_L10A1,20250313,1
L10A1_L10A1,20250314,1
L10A1_L10A1,20250317,1
L10A1_L10A1,20250318,1
L10A1_L10A1,20250319,1
L10A1_L10A1,20250320,1
L10A1_L10A1,20250321,1
L10A1_L10A1,20250324,1
L10A1_L10A1,20250325,1
L10A1_L10A1,20250326,1
L10A1_L10A1,20250327,1
L10A1_L10A1,20250328,1
L10A1_L10A1,20250331,1
L10A1_L10A1,20250401,1
L10A1_L10A1,20250402,1
L10A1_L10A1,20250403,1
L10A1_L10A1,20250404,1
L10A1_L10A1,20250407,1
L10A1_L10A1,20250408,1
L10A1_L10A1,20250409,1
L10A1_L10A1,20250410,1
L10A1_L10A1,20250411,1
L10A1_L10A1,20250414,1
L10A1_L10A1,20250415,1
L10A1_L10A1,20250416,1
L14A1_L14A1,20250217,1
L14A1_L14A1,20250218,1
L14A1_L14A1,20250219,1
L14A1_L14A1,20250220,1
L14A1_L14A1,20250221,1
L14A1_L14A1,20250224,1
L14A1_L14A1,20250225,1
L14A1_L14A1,20250226,1
L14A1_L14A1,20250227,1
L14A1_L14A1,20250228,1
L14A1_L14A1,20250303,1
L14A1_L14A1,20250304,1
L14A1_L14A1,20250305,1
L14A1_L14A1,20250306,1
L14A1_L14A1,20250307,1
L14A1_L14A1,20250310,1
L14A1_L14A1,20250311,1
L14A1_L14A1,20250312,1
L14A1_L14A1,20250313,1
L14A1_L14A1,20250314,1
L14A1_L14A1,20250317,1
L14A1_L14A1,20250318,1
L14A1_L14A1,20250319,1
L14A1_L14A1,20250320,1
L14A1_L14A1,20250321,1
L14A1_L14A1,20250324,1
L14A1_L14A1,20250325,1
L14A1_L14A1,20250326,1
L14A1_L14A1,20250327,1
L14A1_L14A1,20250328,1
L14A1_L14A1,20250331,1
L14A1_L14A1,20250401,1
L14A1_L14A1,20250402,1
L14A1_L14A1,20250403,1
L14A1_L14A1,20250404,1
L14A1_L14A1,20250407,1
L14A1_L14A1,20250408,1
L14A1_L14A1,20250409,1
L14A1_L14A1,20250410,1
L14A1_L14A1,20250411,1
L14A1_L14A1,20250414,1
L14A1_L14A1,20250415,1
L14A1_L14A1,20250416,1
L16A1_L16A1,20250217,1
L16A1_L16A1,20250218,1
L16A1_L16A1,20250219,1
L16A1_L16A1,20250220,1
L16A1_L16A1,20250221,1
L16A1_L16A1,20250224,1
L16A1_L16A1,20250225,1
L16A1_L16A1,20250226,1
L16A1_L16A1,20250227,1
L16A1_L16A1,20250228,1
L16A1_L16A1,20250303,1
L16A1_L16A1,20250304,1
L16A1_L16A1,20250305,1
L16A1_L16A1,20250306,1
L16A1_L16A1,20250307,1
L16A1_L16A1,20250310,1
L16A1_L16A1,20250311,1
L16A1_L16A1,20250312,1
L16A1_L16A1,20250313,1
L16A1_L16A1,20250314,1
L16A1_L16A1,20250317,1
L16A1_L16A1,20250318,1
L16A1_L16A1,20250319,1
L16A1_L16A1,20250320,1
L16A1_L16A1,20250321,1
L16A1_L16A1,20250324,1
L16A1_L16A1,20250325,1
L16A1_L16A1,20250326,1
L16A1_L16A1,20250327,1
L16A1_L16A1,20250328,1
L16A1_L16A1,20250331,1
L16A1_L16A1,20250401,1
L16A1_L16A1,20250402,1
L16A1_L16A1,20250403,1
L16A1_L16A1,20250404,1
L16A1_L16A1,20250407,1
L16A1_L16A1,20250408,1
L16A1_L16A1,20250409,1
L16A1_L16A1,20250410,1
L16A1_L16A1,20250411,1
L16A1_L16A1,20250414,1
L16A1_L16A1,20250415,1
L16A1_L16A1,20250416,1
L16B1_L16A1,20250222,1
L16B1_L16A1,20250301,1
L16B1_L16A1,20250308,1
L16B1_L16A1,20250315,1
L16B1_L16A1,20250322,1
L16B1_L16A1,20250329,1
L16B1_L16A1,20250405,1
L16B1_L16A1,20250412,1
L18A1_L18A1,20250223,1
L18A1_L18A1,20250302,1
L18A1_L18A1,20250309,1
L18A1_L18A1,20250316,1
L18A1_L18A1,20250323,1
L18A1_L18A1,20250330,1
L18A1_L18A1,20250406,1
L18A1_L18A1,20250413,1
L18A6_L18A1,20250217,1
L18A6_L18A2,20250217,1
L18A6_L18A3,20250217,1
L18A6_L18A4,20250217,1
L18A6_L18A5,20250217,1
L18A6_L18A6,20250217,1
L18A6_L18A1,20250218,1
L18A6_L18A2,20250218,1
L18A6_L18A3,20250218,1
L18A6_L18A4,20250218,1
L18A6_L18A5,20250218,1
L18A6_L18A6,20250218,1
L18A6_L18A1,20250219,1
L18A6_L18A2,20250219,1
L18A6_L18A3,20250219,1
L18A6_L18A4,20250219,1
L18A6_L18A5,20250219,1
L18A6_L18A6,20250219,1
L18A6_L18A1,20250220,1
L18A6_L18A2,20250220,1
L18A6_L18A3,20250220,1
L18A6_L18A4,20250220,1
L18A6_L18A5,20250220,1
L18A6_L18A6,20250220,1
L18A6_L18A1,20250221,1
L18A6_L18A2,20250221,1
L18A6_L18A3,20250221,1
L18A6_L18A4,20250221,1
L18A6_L18A5,20250221,1
L18A6_L18A6,20250221,1
L18A6_L18A1,20250224,1
L18A6_L18A2,20250224,1
L18A6_L18A3,20250224,1
L18A6_L18A4,20250224,1
L18A6_L18A5,20250224,1
L18A6_L18A6,20250224,1
L18A6_L18A1,20250225,1
L18A6_L18A2,20250225,1
L18A6_L18A3,20250225,1
L18A6_L18A4,20250225,1
L18A6_L18A5,20250225,1
L18A6_L18A6,20250225,1
L18A6_L18A1,20250226,1
L18A6_L18A2,20250226,1
L18A6_L18A3,20250226,1
L18A6_L18A4,20250226,1
L18A6_L18A5,20250226,1
L18A6_L18A6,20250226,1
L18A6_L18A1,20250227,1
L18A6_L18A2,20250227,1
L18A6_L18A3,20250227,1
L18A6_L18A4,20250227,1
L18A6_L18A5,20250227,1
L18A6_L18A6,20250227,1
L18A6_L18A1,20250228,1
L18A6_L18A2,20250228,1
L18A6_L18A3,20250228,1
L18A6_L18A4,20250228,1
L18A6_L18A5,20250228,1
L18A6_L18A6,20250228,1
L18A6_L18A1,20250303,1
L18A6_L18A2,20250303,1
L18A6_L18A3,20250303,1
L18A6_L18A4,20250303,1
L18A6_L18A5,20250303,1
L18A6_L18A6,20250303,1
L18A6_L18A1,20250304,1
L18A6_L18A2,20250304,1
L18A6_L18A3,20250304,1
L18A6_L18A4,20250304,1
L18A6_L18A5,20250304,1
L18A6_L18A6,20250304,1
L18A6_L18A1,20250305,1
L18A6_L18A2,20250305,1
L18A6_L18A3,20250305,1
L18A6_L18A4,20250305,1
L18A6_L18A5,20250305,1
L18A6_L18A6,20250305,1
L18A6_L18A1,20250306,1
L18A6_L18A2,20250306,1
