service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
A1,1,1,1,1,1,0,0,20240101,20301231
A10,1,1,1,1,1,0,0,20240101,20301231
A11,1,1,1,1,1,0,0,20240101,20301231
A12,1,1,1,1,1,0,0,20240101,20301231
A13,1,1,1,1,1,0,0,20240101,20301231
A14,1,1,1,1,1,0,0,20240101,20301231
A15,1,1,1,1,1,0,0,20240101,20301231
A16,1,1,1,1,1,0,0,20240101,20301231
A17,1,1,1,1,1,0,0,20240101,20301231
A18,1,1,1,1,1,0,0,20240101,20301231
A19,1,1,1,1,1,0,0,20240101,20301231
A2,1,1,1,1,1,0,0,20240101,20301231
A20,1,1,1,1,1,0,0,20240101,20301231
A21,1,1,1,1,1,0,0,20240101,20301231
A22,1,1,1,1,1,0,0,20240101,20301231
A23,1,1,1,1,1,0,0,20240101,20301231
A24,1,1,1,1,1,0,0,20240101,20301231
A25,1,1,1,1,1,0,0,20240101,20301231
A26,1,1,1,1,1,0,0,20240101,20301231
A27,1,1,1,1,1,0,0,20240101,20301231
A28,1,1,1,1,1,0,0,20240101,20301231
A29,1,1,1,1,1,0,0,20240101,20301231
A3,1,1,1,1,1,0,0,20240101,20301231
A30,1,1,1,1,1,0,0,20240101,20301231
A31,1,1,1,1,1,0,0,20240101,20301231
A32,1,1,1,1,1,0,0,20240101,20301231
A33,0,0,0,0,0,1,0,20240101,20301231
A34,0,0,0,0,0,1,0,20240101,20301231
A35,0,0,0,0,0,1,0,20240101,20301231
A36,0,0,0,0,0,1,0,20240101,20301231
A37,0,0,0,0,0,1,0,20240101,20301231
A38,0,0,0,0,0,1,0,20240101,20301231
A39,0,0,0,0,0,1,0,20240101,20301231
A4,1,1,1,1,1,0,0,20240101,20301231
A40,0,0,0,0,0,1,0,20240101,20301231
A41,0,0,0,0,0,1,0,20240101,20301231
A42,0,0,0,0,0,1,0,20240101,20301231
A43,0,0,0,0,0,1,0,20240101,20301231
A44,0,0,0,0,0,1,0,20240101,20301231
A45,0,0,0,0,0,1,0,20240101,20301231
A46,0,0,0,0,0,1,0,20240101,20301231
A47,0,0,0,0,0,0,1,20240101,20301231
A48,0,0,0,0,0,0,1,20240101,20301231
A49,0,0,0,0,0,0,1,20240101,20301231
A5,1,1,1,1,1,0,0,20240101,20301231
A50,0,0,0,0,0,0,1,20240101,20301231
A51,0,0,0,0,0,0,1,20240101,20301231
A6,1,1,1,1,1,0,0,20240101,20301231
A7,1,1,1,1,1,0,0,20240101,20301231
A8,1,1,1,1,1,0,0,20240101,20301231
A9,1,1,1,1,1,0,0,20240101,20301231
B1,0,0,0,0,0,1,0,20240101,20301231
B2,0,0,0,0,0,1,0,20240101,20301231
B3,0,0,0,0,0,1,0,20240101,20301231
B4,0,0,0,0,0,1,0,20240101,20301231
B5,0,0,0,0,0,0,1,20240101,20301231
B6,0,0,0,0,0,0,1,20240101,20301231
B7,0,0,0,0,0,0,1,20240101,20301231
B8,0,0,0,0,0,0,1,20240101,20301231
B9,0,0,0,0,0,0,1,20240101,20301231
R1,1,1,1,1,1,0,0,20240101,20301231
R10,1,1,1,1,1,0,0,20240101,20301231
R11,1,1,1,1,1,0,0,20240101,20301231
R12,1,1,1,1,1,0,0,20240101,20301231
R13,1,1,1,1,1,0,0,20240101,20301231
R14,1,1,1,1,1,0,0,20240101,20301231
R15,1,1,1,1,1,0,0,20240101,20301231
